Number,Comments
41,"The order confirmation email was sent right after the order was placed. A shipping notification email with a tracking link was sent to me when the package was shipped out. Properly packaged with a paper wrap, bubble wraps, and my receipt with a handwritten note. My package was delivered by UPS. The package was received within 7 days and was delayed over a weekend due to weather conditions which is understandable. The product was as described and photographed on their website. I didn't need to return anything, thus can't commend their return process. Overall, a nice shopping experience, and I will shop with A.K. Rikk's again."
42,"The site is very good, they made my dream come true - I bought myself a new computer. They have profitable mining, fast payouts and other benefits. Reliable company, you can trust them, have a company certificate, responsive support, etc. Made $3,000 from this site in 12 months.  Environmental company using alternative energy. All the best of great income and health!"
43,"As always A.K. Rikks goes above and beyond! Whether ordering online or shopping in the store, the staff exemplifies all the best traits that go into great customer service.  Once you shop here you become a part of the ""tribe"".  Great selection from a variety of brands that are not found elsewhere in Grand Rapids. Thank you!"
44,"AK Rikks has some of the best if not THE best customer service I’ve ever experienced anywhere.  When the sale promo code did not work for me because the sale had just ended, AK Rikks texted me my own personal code and they honored the sale price and they couldn’t have been nicer and more friendly.  I got my package in two days with a little personalized note on the receipt.  It was a nice touch.  I really can’t recommend this place enough.  Greg"
45,"Website was spot on when ordering, item shipped faster then expected. Packaging was great & item was just as described. First time purchasing with you & look forward to again. Thank u :)"
46,"I like buying clothes. Every season I got to the mall or clothing store in order to buy new clothes for the new season. I prefer wearing t's, trousers or jeans and I have plenty of shoe pairs. However, recently, unfortunately, my favorite clothing store was closed because of the restrictions accepted due to coronavirus, I started to search for another clothign store, where I could uy new clothes. Fortunately, I found this comapny and after I explored the assortment presented here I ordered couple of t's and a sweatshirt. Everything was delivered in time and I am glad that I applied here."
47,I had  such an excellent experience with A.K.Ricks. I made a purchase but unfortunately it was out of stock. I was contacted immediately and reassured that the item would be sent to as soon as it is available. A few week later I received my item in one of the best packaging I have ever seen. I recommend this store 100%.
48,"I have never experienced a more attentive ""online"" store. The people at AK Rikk's are exceptional with their customer service, and the product selection is outstanding. I will definitely continue to shop this store, despite being almost a thousand miles away."
49,"Shoes came very fast and was in great condition, just discovered the shop too looking for some designer sale and Common Projects!"
50,Love your store! Got my husband a beautiful wool coat from your 90% off sale. It was on my doorstep two days later! Fast and great service!
51,"It was myfirst purchase on this website. The shipping was very fast and the communication was great. Unfortunately I live in France so the shipping was more complicated and long but the seller offer a great solution to ship in my country. The handbag is very beautiful and flawless, well packed and it came with an invoice. It was a great first experience and for sure I will order other items !"
52,"With my new sneakers, the package is really nice and beautiful. It was an excellent purchase at an excellent price. I can't say enough good things about this place: quick shipment, well-packaged items, and a personal thank you message."
53,The best customer service there is! I found a hell of a deal on a loafer that was in the warehouse and after placing my order online I started to question if the 11 was the right size.  I called in to ask if someone could grab both the 11 and 12 from the warehouse was assured it was not a problem at all.  I came in the next day and sure enough the 11 fit but the 12 was there just in case.  Great experience as always.
54,"Really lovely and luxurious packaging with my new shoes. It would have been great if they offered some type of promo code for first time buyers from the website, but I understand not all retailers off this. Otherwise really wonderful service."
55,"AK Rikks is a trusted source for men's and women's apparel. I have ordered a number of items from them over the last few years for my wife and I and the product always shows up well packaged with a quick delivery. If it doesn't fit, you can easily return for a refund."
56,"Exceptional service even from an online experience. Great selection of must have items, and they have fast shipping. I will definitely be a repeat customer."
57,"Fast shipping, great customer support , and when I received my package it even include a hand written note thanking me for the purchase! Overall very good experience and would shop here ahain"
58,Sweet price on the shirt I wanted plus fee and fast shipping. That's about as good as it gets.Kudos!Chris Gibson
59,I cannot tell you how much I appreciated your personal customer service. I love your flannel box packaging as well. You worked as an incredible team to send a present overnight to my dear friend in England. She was thrilled. Forget 5 stars! A full sky of stars would not be enough! Thank you!!
60,"AK RIKK's is amazing! They retroactively applied a missing 20% coupon that saved me a ton of money, they shipped quickly and swiftly in an amazing box, and the return policy was perfect in giving me peace of mind. I will definitely be using AK RIKK's as a go-to."
61,"First time buying from here so I ordered a few $80 hoodies.. Got no confirmation, the money came right out of my account so I emailed them to ask what's going on so it's been 4 days and no response and no way to contact them any other way! So now I gotta call my bank and tell them it was fraud and get my money back."
62,"For this is the best Clothing Store for men, high quality product, smooth transaction and fast delivery"
63,Spent over a $100 on t-shirts and a Hoodie. Washed it once picture faded and streak lines of picture cracking.
64,I first Purchased close from y’all last year. I loved everything I got and I can say in just a years time the quality and material has gotten even better and great fit. I even needed a refund for a wrong size and it was sent over the very next day.
65,Didn’t give me an option on free shipping and ended up paying for priority shipping and still took about 3 weeks to receive the items. Will not order from here again.
66,"My boyfriend bought our daughter a tshirt and matching sweats about 2 years ago. She wore it several times so it’s been washed. Same outfit on my 2 year old yesterday. The fabric is the same, the color isn’t faded. I love it."
67,I’ve always loved hasta muerte clothing and I recently made a purchase on some hoodies and shirts and I loved it more i am definitely buying more really good quality
68,"For my first purchase ever from Hasta Muerte, I chose the $100 mystery box and I just gotta say- worth every penny I spent on it 🤩 my daughter stole one of the hoodies before I even got a chance to wear it 🤣😭 but I’m definitely going to be a customer “Hasta Muerte” 💯"
69,"Amazing brand, beautiful quality, and a price that makes the items feel quality, fire 🔥"
70,Favorite Online Streetwear Brand I’ve found! I came across Hastamuerte and have been nothing but satisfied with the product quality and style. Their constant releases and variety of items keep me coming back and wanting to buy more. There’s no other brand like this one and I’ll continue to support because of the great customer service!
71,I ordered 3 T-shirts. Products were delivered a few days late.  Quality was average
72,"I’ve purchased clothing from Hastamuerte numerous times and their product is high quality at all times. Never had any issues with shipping or anything. I love the products and I’m a supporter of their brand. Keep up the good work, it’s a appreciated."
73,I don't typically write reviews but I felt compelled to do so with this one. If I could give customer service 10 stars I absolutely would! Ordered a t shirt and it was just a bit defective from processing or whatever. I emailed support about the issue they got back to me very quickly and agreed to replace the item without hesitation. The quality of the product is great so totally looking forward to receiving my new one! What a great company with outstanding service!!!
74,These shirts are some of the best I've personally bought online or in store .just so well done perfect feel ....just quality overall definitely worth the wait and price .
75,"I ordered a ""trust noone"" face mask, when I got it, I noticed a seam coming apart, so I sent them a pic. They replaced the mask for free and allowed me to keep the other, no questions asked. Was a breathe of fresh air to be treated as human with an issue that could be solved simply. Very appreciative of the treatment and plan on buying more products."
76,Best clothing company on the market! Made of great quality always delivers even when they’re late they send updates an offer to make it right to keep you posted.When the quality isn’t the best they know they need to upgrade and they do it I’ve never been let down and everywhere I go people see the clothing and they complement it! 12 out of 10
77,Love the products. Best styling in the industry by far. Always exceptional service and quality is always on point. And if anything ever does happen (which is rare) the customer service is amazing. They work with you and make it right. Very smooth experience overall. I will definitely be a life long customer and continue to show my support. Love everyone at the company. Show your support you won’t be disappointed 💯
78,I love you guys...your clothing is SO DAMN DOPE.  I wore the 2 hoodies I bought from your site...as well as the shirts I received from you.  My wife bought me a cold bucks T shirt for my birthday at hibbetts...which I was shocked that they carried your clothing.  I wore that shirt with my UNC JORDAN 3s and some jeans...perfect fit for the day.  Keep up the great work...you know I am definitely a fan of your clothing.
79,"Hasta Muerte hands down the best qualityproducts on the market. Products fit wonderfully and perfect for any occasion. I am 14 shirts in and still get compliments in public. Great brand not only for the amazing quality, but the excellent customer service!"
80,"Lol I see they pay for people to write reviews. I ordered product on the 13th, it’s the 23rd and it hasn’t been shipped. Even though I paid $21 for priority shipping the is supposed to come to my house in 4 business days. They emailed me they are like 8 days behind filling orders so a couple of y’all are lying on here. Won’t give me my priority shipping fee back. Never order from here they suck."
81,"Otrium is a year-around gem to have; I’ve stopped shopping with my regular brands and I’m spending all my time and money shopping at Otrium building my forever, timeless, dream wardrobe. I have to dress for four seasons, so there’s always something “l need”! :-)"
82,Excellent experience ordered items and received everything in a timely manner it was well worth it
83,"I thought Otrium was too good to be true.  How could prices be so great?  I turned to Trustpilot for reassurance and went ahead and ordered (a lot).  Every item was perfectly packaged; every item was new; free delivery was fast; returns free, as well.  What's not to love?"
84,Excellent seller. Fast shipping and order processing. I am satisfied with the product. Everything corresponds to the description and photo.
85,Nice clothing deals. Exceptional service and shipping speeds. Items were packaged professionally.
86,"Very easy to buy, the order was fast. Previously, one of the items needed to be returned and it was also easy and fast."
87,"I've become a (too) regular shopper on the Otrium site and I couldn't choose a better company to buy from.  Their customer service aims to please, their sales are generous and frequent enough, and there's always FREE SHIPPING! Hope as it gets more popular that the things I've come to love about it stay the same. Highly recommend!"
88,"I randomly found this site while searching for a pair of Alala leggings and couldn't believe my eyes when I found them at 60% off! I immediately started perusing the site and ended up buying 5 things for less than $250. Everything was over 50% off and such great brands and selections. I sent it to all of my friends and they are now obsessed too. I just placed my 3rd order since discovering it a week ago. Magical but incredibly dangerous! Free returns, free shipping, i mean, it's like a sustainable version of amazon for amazing brands. LOVE IT!"
89,"First time customer for the website.  I’m usually very cautious when it comes to online shopping.  After reading the reviews and checked out the merchandise,  then decided to pull the trigger and made a purchase.  Then I got an email stated that order will be delayed.  Oh oh.  I thought it’s not good!  Did I made a right decision to purchase from this website?  Thought maybe it’s not a reliable website.  I do have to say that this is a legit website with genuine merchandise.  The shipment delivered within time!  I made a second order soon after.  Great merchant!"
90,"This site has all my favorite brands! Especially The Flexx and Faherty! Also a new favorite, Outerknown. I love that these brands are sustainable.  That’s important to me. The prices are amazing! With any online shopping returns are a Necessary evil. Thanks Otrium for including a return slip and label to make this part a breeze. And returns are free!! I’ll definitely be using and raving about Otrium for the future!"
91,"Ordered several items from them, arrived as described.  Service was expedient, received the order within 3 days.  Very happy with the purchases"
92,Otrium is one of the better sample sale sites out there. They do not have a time limit and so it’s a better shopping experience. I have made 5 purchases so far and have only made one return. Unlike sample sales their return policy is top notch (free returns).
93,"I love using this site. The options and the selections are great.. The sizing is a bit confusing because many of the articles come from different countries that use different scales that used different scales for sizing. That presents a problem for me being American and us having a fairly standard set of sizes. Other than that I'm very happy with the site. I'm happy with the delivery, it's very fast. The discounts are deep and the quality of the products is very high. I highly recommend Otrium  to anyone!"
94,Awesome prices on awesome products; super fast shipping; I highly recommend this online store!
95,"I ordered an item and then the system canceled it and returned the money automatically. I really wanted the order so I contacted Otrium help center. Anna answered and gave me a free shipping discount, but when I told her that I can no longer find my desired item she apologized and gave me an additional 15% discount.She was very nice to me and also this was not the first time I talked to her. She was always very helpful, prompt and also very kind.I would definitely recommend Otrium.com!!! Excellent service and attitude towards customers."
96,"This place is great since the product selection, fair prices and customer service. I had a small issue with the product I received - the clasp wasn’t working properly - and their customer service blew my mind. It was so so good! They most definitely have my business."
97,I’m in love with the top. The price was amazing and I did not see this item available on other websites. Shipping was fast and easy. I will definitely shop again.
98,"Amazing Belstaff merchandise at the fraction of what it would cost elsewhere, I’m in love with my new jacket. Two beautiful linen jumpsuits from Faherty were a steal as well. Items ship almost immediately and are at my front door within 3 days on average. Highly recommend this company, I have already been recommending them to all of my friends"
99,I love that My items were shipped immediately.
100,I order from Otrium often. The prices are amazing and the returns are free. My Belstaff collection is wonderful thanks to Otrium!
101,"Great service.  Shipping was quicker than stated, and communication was great.  Price was the best I had seen on these, including, in Hawaii!"
102,I initally gave a 5 Star review but this rating system is to difficult so I chaged it to worst rating
103,I loved the shoes and am pleased with the packaging and shipping as well. Thank you!
104,Great kilt hangers. Nice darkly stained hardwood. Four sturdy metal clips that are enameled won't cause any damage to my kilts. The kilts hang very flat and level with these to maintain pleats. I recommend these.
105,They advertise the wrong color for their golden brown timberland pro boots. Aka they lie to their customers. Extremely disappointed.
106,"Easy, quick, fast loved my item and loved the quick shipping"
107,"The Dansko clogs & sandals are perfect but for some reason were shipped to CA before coming to FL? Am error on shippers part, obviously, but they took 2 weeks to get to me. Longest I have ever waited for an order from lebos."
108,This was my first time ordering from Lebo's and it was a GOOD experience. My shoes shipped to me pretty quickly and were in Great Shape. The quality of the shoes is really GOOD also. Thanks for a good experience Lebo's.
109,"I just discovered Lebos in North Carolina. I placed an order for a pair of clogs and within a few days I had them delivered to my home in TN. Unfortunately they didn't fit, so I sent them back. Within a day of reaching them they sent an email that my account has been credited already. That is what I say is good customer service. Now looking forward to visiting their western ware store. My husband wears those cowboy hats so it sounds like a great store for both of us."
110,"Received two Breyer Romero, just like I ordered. But they were just wrapped in the plastic shipping bag. Both models boxes were damaged! So a little disappointed they would shipped not in box. But looks like model look ok!"
111,"I was searching on the web for Carolina on my mind Bogg bag. The color was a bit hard to find. I came across Lebos and not only did they have the color,they had large and baby. So I order both. Came in a few days and the packaging was perfect!! I have no complaints"
112,Bought some sandals and they are perfect. Fast shipping and great customer service too.
113,Wonderful first experience with Lebo's! I ordered my granddaughter's dance shoes. They arrived in a very timely manner. I was updated in email with the shipment progress. The selection is great!
114,"since I live in VA and on border of Kingsport TN, these shoes came FAST! I see that you are located in NC. These white flatfoot shoes without taps were delivered in my mailbox. Excelllent quality, just what I was looking for. These are hard to find..I thank you tarheels!"
115,I’ve been looking for the Hey Dude’s Wendy’s white crochet shoes in a size 7 for quite some time. Lebo’s had them in stock whereas nobody else did. They shipped them in record speed and with absolutely no problems. Will definitely be doing business with them again! Wish we had Lebo store near us!
116,"I recently just learned of Lebos from my daughter in law. I bought 2 pairs of Hey Dudes. I wasn’t sure of the sizing, I normally wear a 7.5, somewhere I read to go up a size, so I bought the 8. Unfortunately they were too big. Lebos made exchanging them for a size 7 so easy and they shipped extremely fast!  I love my shoes and will definitely buy from Lebos again!"
117,Ordered pair of shoes from their website and they were awesome! A friend of mine recommended them and it was no mistake to submit an order. I will definitely recommend them to more people!
118,Somehow I accidentally ordered the waterproof version of these but ended up loving them. Quick shipping and solid communication from Lebos regarding shipping. Will definitely buy from them again.
119,"I couldn’t have asked for anything better. Web site was easy to order from, delivery was very fast as promised. Extremely satisfied!"
120,"After paying $139.99 for a pair of the Dansko Pace Ladies shoes and wearing them on a few times indoors only, the glued on treads on the bottom of the sole of the shoes are coming off!  Bad design and poor quality."
121,Love my new alpaca wool scarf. Got exactly what I was looking for. It was easy to place my order and it was ready to be sent out the same day and received it in 2 days. Thank you!
122,The Peaky Blinders hat is good-looking and the XL fits very well.  Hats are true to size.  My wife loves it on me!  I love the extended bill.  The shipping time was fantastic.  The hat came in just a few days.  Overall a great experience.  I will order more hats from this provider.
123,"Although I haven't received my order yet, the process of shopping online and ordering was pleasant and straightforward. I look forward to wearing my items when they arrive."
124,"I love my cap with the Celtic Dog on it. However, I wish the design would have chosen some more contrasting color for the embroidery"
125,"the quality of this clothing is impeccable!  I have been looking for new Irish linen cap for a while now, I have a black and natural color caps from my visits to the Emerald Isle . The two i purchased from Celtic Clothing were beautiful and different shades of green. I will enjoy them next spring and summer. But the weather is changing in the Pocono Mts. in PA so i will wear my wool caps from Muckros and Hannah hats from Eire, San agus Beannacht;"
126,"I purchased the ladies wool wrap, it feels soft and durable. It will be a versatile piece as I often find coats too bulky to wear. As a suggestion, in the online catalog listing of clothing I’d like to see more views (front, back, side) of the items."
127,Using the website was easy and informative. I have not received the items yet but the turn around time from order to shipping was less than 1 day. Celtic Clothing is an outstanding shop to shop with.
128,"I have bought several items from Celtic Clothing over the years. The merchandise is high-quality, reasonably priced and always arrives promptly. I will buy from them again, and I would recommend them highly to anybody looking for clothing and accessories that are made in Ireland."
129,I found the shopping experience quite pleasant and efficient. The tracking technology was more than helpful. I will gladly purchase more products in the future.
130,I ordered a green knit sweater of Irish wool. It arrived very quickly and in great shape. It is a typical well made
131,The package was delivered in a timely manner. The shirt is a very nice quality and fit is true to size.
132,"Charles and his staff working the Dublin, Ohio Irish Festival went above and beyond to help me find just the right rugby shirt and cap that I wanted. Everyone's customer service and friendliness were top notch. I'm very satisfied with my purchases, and I will buy again. Thank you, sláinte!"
133,This company is great! My item was on back order but when it shipped it came two day priority mail which I thought was above and beyond. The sweater is incredibly beautiful and excellent quality. I am happy.
134,"Exactly as described.  Very fast shipping. Good, quality clothing. Thanks"
135,"Very Quick delivery and good quality T shirts at very good pricing. Always easy to select items on the website. EXCEPT: Would be 5 stars except for the very annoying Captcha buttons and its picture games for account login and for PayPal. I already gave you my account password and my PW for Pay Pal, so get rid of the redundant Captcha buttons. Quite Annoying. Thanks."
136,I was a little apprehensive at first given I ordered a tweed cap. I have experience with wool berets and they are not comfortable at all haha however this cap is simply stunning. Amazing fit. True to size great fabric feel and quality. 10/10
137,"I would have given 5 stars, but they are not what I expected. I have purchased grandfather shirts elsewhere. I thought these would be a little lighter weight, for summer. They are wearable in summer, but a little on the warmer/heavier side. Still, good shirts for a good price."
138,Please list size dimensions for vests in inches measuring length/chest/and waist.  The vest dimensions do not match shirt dimensions. I selected a 2XL vest based on 2XL shirt sizes I purchased through your store. The vest was not as large as the shirt I bought. I paid shipping out of my pocket expense to return the vest. The additional information will be very helpful. Quality product otherwise.
139,I had a minor issue with my order and they communicated well during the process and made it right. I recommend them and would purchase from them again without reservations.
140,Ordered linen cap.  Arrived timely and in good shape.  Appears to be of very good quality.  It is lightweight which is ideal for hot weather.
141,I use this platform evrytime I have in mind something I need and it never fails to find something that suits my needs for me this is the best website for people.
142,"Very good store with ideal stuff. But sometimes my order is delay. Nevertheless, I like to use this service"
143,"I am highly recommend this store, very good quality and excellent attitude to the customers"
144,Excellent Product of excellent Quality provide with an  excellent Service ... meaning that my Experience ( not the First-One ) ... is still excellent.Good Job Guys .. you made me proud again to wear a USA Kilt
145,"Excellent customer service. I accidentally ordered two shirts twice. They took the time to call me to see if I really wanted the extra order. You can’t beat that. Looking forward to seeing my husband’s kilt, it should be coming soon. Great videos too, we have learned a lot."
146,"These shirts of which I now have 3! Fit the bill well for Mass , a night out with a casual yet gentleman apparel !  Work well with both Kilt & jeans ,"
147,"USA Kilts is an outstanding organization, from top to bottom, with excellent customer service, a high-quality product, and superb educational tools. I am a cancer patient and am unable to wear pants due to radiation burns. USA Kilts accelerated their production process in order to outfit me with a gorgeous kilt and accessories when I needed them the most. Having a background in marketing and sales, I cannot speak highly enough of their trained staff and knowledge of their product. After researching possible kilt sources, I was blessed to have discovered USA Kilts and not fall for the knock-off kilts from Pakistan. I am now a new and faithful customer, having made additional purchases to expand my regalia. Kudos and thank you to USA Kilts!"
148,"I have been asking numerous questions about kilts, proper attire, etc. My questions are answered promptly and courteously. Never a ""canned"" response. My most recent question was about the placement of the sporran chain. Gillian, especially, has been wonderful about giving me clear responses and direction. That is representative of what USAKilts is all about."
149,"I bought a casual kilt called The American Heritage kilt. It is more than I expected! The quality of material used to the craftsmanship and how the kilt was made is more then I could hope for. Yes it took a while to receive the kilt, but it was much sooner then I was quoted. When I put the kilt on I was doubtful that I took my measurements correctly, but it fit perfectly!! It's nice to know that there is a company out there that still puts quality first. This company has my business for life."
150,USA Kilts never disappoints!  Love my minis for playing pipes on stage with Live Wire! And my trad and semi trad kilts for everything else.  Thanks for keeping me looking good doing what I do! Loyal repeat customer!
151,Great kilt hangers. Nice darkly stained hardwood. Four sturdy metal clips that are enameled won't cause any damage to my kilts. The kilts hang very flat and level with these to maintain pleats. I recommend these.
152,"Excellent quality of products and they are exactly as described on website.  The order was shipped  safely in a timely manner and emails kept us updated along the way.  This is our ""go to"" company from now on."
153,I was very pleased with the pleasant personality and knowledge of the young lady I spoke to regarding the gift I bought from my daughter's 25th anniversary she was thrilled and her husband thank you for such a speedy service
154,"My second casual kilt from USA Kilts. The Celtic Nations tartan was designed by a genius, the colors seem to go with any hose or shirt. Fit is perfect and the lighter weight material just feels right. I paid for RUSH service and got it in 11 days. Note I have been wearing kilts for over 30 years, I love this one!"
155,"@ last minute, I ordered a gift card for my brother for his birthday. The site stated immediate delivery. After 2 hours my brother had not received it. I sent an email and within minutes I had received a personal email with an apology. My brother received a personal email with a link and attachment for his card. PERFECT! I since have received another email with the reassurance that it wouldn't happen again and the issue would be resolved. No complaints. Highest respect for this company."
156,"The customer service was second to none. When my order got delayed in shipping they overnighted a whole other rental package just to make sure my wedding day would be everything I imagined it would be, and it was. I cannot speak more highly of this company, their professinalism, and the speed at which they assisted me, and specifically Heather for her kindness and excelllent customer service through all of the issues I experienced."
157,"Rock solid customer service. Ordered a jacket/vest combo: jacket fit perfectly, vest was a bit snug. Two emails and 4 business days later, I had the new vest in hand and I'm ready for my wedding anniversary with a week to spare. The fine folks at USA Kilts have their act together."
158,"Amazing quality, answers calls and emails promptly and they have amazing customer service skills. Very willing to help with anything and everything and answer questions. My wedding is coming up and my fiancé bought his Prince Charlie set from them- jacket was small and they did the exchange in days and expedited the shipping! Totally worth the price tag because you're paying for quality materials and service!"
