,0
47,"This is my second order from them and they always deliver...if an item is out of stock I am contacted to pick another or the money is kept in credit for next order. delivery is always on time, quality is top grade. I like them and their customer service experience is very quick and polite. I will definitely patronise them again and again."
48,"Less than a month for my order to get to me and the quality is amazing down to the last stitch. I was a little concerned with some of the other reviews that I read, but I am no longer.  I found my new spot to shop, look great without breaking the bank. The best find for me in YEARS!THANK YOUS.L."
49,"I am very happy with my purchase with them.  It was a very good service and the delivery took around 5 days! Dock is the fastest delivery I have received from everything I bought from China.I knew I could trust AAAshirt. I will definitely buy more from them  and I recommend them to you who love brand clothes and stuff, it really good products better than DHgate anyway. Thank you AAAshirt!"
50,"I have bought from AAA over 6 times now. They respond on email in reasonable time for drastically different time zones. They have never sent me a defective product or the wrong product. All products are high quality and I can’t tell much a difference from actual REAL designer products I own. Any shipping logistics delays were Covid-19 related, my last shipment was complete within 2 weeks from order to delivery. I highly recommend AAA, the quality really is outstanding."
51,"An absolute horrible site to purchase from. They charge you $50 -$70 dollars for 5-7 day service, but need 30-45 days to process your order.  CAUTION CAUTION CAUTION.  I may not even recieve my order.  I will keep you posted...Today I reached out again with no response.. 4 or 5 emails every day until I  paid for my merchandise.. now not a single response."
52,"I was initially reluctant to place the order having read so many negative things about this company but decided to give it a try so I ordered eight shirts totalling £310. I’m so glad I did, not only was the quality very good, I received all the eight shirts within one week. They surpassed my expectations and I would be placing more orders with them."
53,"Great communication,  Q's answered almost immediately.  Unlike other orders from PRC it had accurate constant tracking,  polo shirts arrived by USPS delivery four days after leaving the company!   For US customers,  ask which size translates.  If you wear XL with room to spare,  order an AAASHIRT  3-XL.   If its tight,  search for a 4-XL.  I found very few."
54,"I ordered a custom jersey on December 5th. It arrived 5 weeks later. It was a pittsburg steelers jersey and was sent to me in navy blue and yellow colors! I asked for a refund seven times. I asked them to cancel the order on the 3rd week. Instead of cancelling the order and issuing a refund, they shipped it anyways and then asked me to send a photo of the jersey so they could check it out. I did. Then they sent another email requesting a couple more photos in a different light! Besides making the customer jump through hoops to prove they received a defective item, especially when they received a request before they shipped it to cancel the order since it was late, I have discovered through reading these reviews that the company is fraudulent."
55,"To start off I bought off aaabrands.ru which is basically the same site just more options. The site is not a scam they do deliver the products you purchased and you can actually pay through PayPal which has a buyer protection. I usually don’t write reviews but this was my first time buying from them and was a little skeptical from seeing all the negative reviews left, I just wanted to confirm the site was legit for anyone who was scared to order.  Only thing to keep in mind is the sizes are off if u are a male xl I would order 2xl other then that it is a good site for cheap brand name clothes."
56,I ordered over a 300 euro worth of stuff that I never got they said it was signed by a fella called David that’s not me and then didn’t help inanyway to try help me so was left with no goods and people waiting on them would never shop again with them
57,Alright. People. Things take a while to get to you. These guys do NOT scam. They get back to your emails the next day. I've ordered from these guys dozens of times and had nothing but great experiences. I trust them 100%.
58,"Had over 10+ orders from this site now and all products always perfect and delivery is between 7-14 days, think the longest I have waited was 21 days but that was due to COVID being at its peak, will be ordering from this site in the future"
59,"Fast shipping , into EU. Very fast custom service. Good looking product. One negative better shipping price before but know that Covid messing up shipping! Coming soon back"
60,I ordered twice from this website I don't know what everybody else talkin about but I got everything I ordered and the second time I ordered I spent a little bit more money and still got my order within 7 days I think they are good
61,"Hello,I need an update on this order number please?8995450I ordered on July 8th and should’ve received it in 5-7days however I have not received anything  including a tracking number. I needed these items urgently as to why I chose DHL shipping. Please let me know when I will receive this, when it will be shipped or how I can go about cancelling my Order. Thank you.Update: based on how things goes with this, I might write a new review.Update: I received a tracking number when I asked to cancel my order. The tracking number cannot be pulled up on DHL website.I cannot access the website anymore from my phone. I sent another email to cancel the order. I’ll update again."
62,"I bought at aaabrands.ru which i guess is the same but different store with a new website, The order took from payment to delivery about 9 days which is ok.After shipment i received a tracking number which wasnt working and so i got a bit nervous in the beginning. also the fact that they didnt replied on my second and third emails. but i am impatient in general so sitting tight and shut the f up would be maybe better, cause package arrived and quality is beyond expectations So its definitely worth waiting and also 8 days from hongkong to europe isnt that much of a biggie i guess. So the shop is very legit and i can recom it for sure. Maybe they could work on the tracking number thing to take me as a customer a bit more at peace but maybe it was also an onetime issue. will buy again for sure"
63,Omg! All I can say I'll be ordering again... My items were shipped fast ... looks just like description...very high quality... thanks so much ... im glad to be your customer...
64,"Brilliant service, package came quick considering. Customer service are helpful in providing tracking details and helping me out, will order again for sure."
65,"They are thieves, don't send your money to them, they are scammers. I ordered on May 7 they take the money on the next day, till now I received just excuses. Don't send your money.."
66,I bought two items at their website. Didn´t receive anything and now two months later my creditcard got blocked by the bank because of 3 automatic charges on my cc from Russia.
67,"Such great quality products, and they are so responsive on email to any queries big or small. Ordering online can be nerve racking sometimes but this site really is great!"
68,"10/10 love them, they are a huge business with 100s if not 1000s of orders a day, they are good with there word. I appreciate doing business with them"
69,It has been 20 days and they still did not even ship my order !! every time i send an email they keep telling me 2 to 3 days and they will ship it ! very bad service.
70,I ordered for 259 dollars the 4th august and i never recieved anything. Today is the 14th december and I would love to get an update.(order number 8684633)
71,I have pleased a order and they sent me a email that is was out of stock so I wanted my mony back and til know I didn't receive my mony. Order id 8998483
72,"I ordered on january 5, and paid by credit card, nothing arrived, in 3 months. No answer with multiple requests by mail. Absolutely scam site. CAUTION CAUTION"
73,Don't let the bad reviews here get to you. This shop is amazing. I bought LV Shoes and shirts and I got them in less than a week. Will buy from them again.
74,I have ordered 3 items 2 bags and a pair of socks excellent quality and  prompt customer service. I will continue to order from this site
75,"Quick delivery, good follow-up and the article matchs the description."
76,I had a great experience buying from Zartoni.  The delivery time is acceptable and the product is of very good quality.I recommend it!
77,Awesome selection of men’s clothes.  Ordered a bomber jacket.  Took a little longer then I expected to arrive.  No big deal. The jacket was very nicely packaged and fits and looks great. Will be ordering again.  Trust the size chart if you decide to use this. Definitely two enthusiastic thumbs up 👍 👍
78,"Great product! I ordered a brown beanie from Zartoni, and it is incredible. Not only does it look great, it feels incredibly soft and warm. They will be one of my go-to companies for fashion. They have a diverse selection!"
79,"SCAMIf I could give zero ratings I would. Even with a tracking number, which I think is bogus, the item has still not arrived almost after 2 months. I would highly recommend everyone not to order from this scam of a company"
80,The item that I ordered a month ago still not delivered. They can’t even provide the information what delivery service is used for. The tracking show my item is delivered but the item that I ordered is not shown up.
81,"'Fraud' is the simplest way to describe what this company is doing.  I was not expecting much since the price of the items I purchased was surprisingly low, but what I finally received was no where close to the advertised items i thought I was buying. Moreover, sizing was wrong, the designs were different and the quality was non existent.  I do not know how companies like these get away with what they are doing!Stay away"
82,"I had a great experience with Zartoni. The quality of the shirts and fabric and style were excellent. I love their shirts and I will be buying some vests soon. My only 'critical' comment is that the delivery took longer than expected. But, here in Canada, everything is slowed down due to Covid. Otherwise, great job! I will be a repeat/continued customer. Thanks so much :)"
83,"THIS IS A SCAM!!! The jacket that i received seems very poorly made and the lable (brand) on the inside of the jacket is different to that on the photo. The Zartoni website says the clothes are Italian but you can see on the tracking page that the package ships out of shanghai. THE CLOTHES ARE OBVIOUSLY VERY CHEAP CLOTHES THAT ARE MADE IN CHINA AND MARKETED TO LOOK PREMIUM. You can also tell its a scam becasue the clothes are always ""on sale"". DO NOT SUPPORT!"
84,"I have called many times and always get a answering machine. I received an email, that I emailed back many times and still haven’t gotten a response on returning items. This a total scam and it’s very difficult to return items. This is extremely bad business and unprofessional. I expect a response back and will be doing a charge back on my credit card. I’ll be reporting you to the Better Business Bureau if I don’t get a response back within three days. With so many bad reviews, I will succeed my outcome. My order number is 66634"
85,"Worst experience for e-commerce, ever.  I ordered a shirt, two ties, and two vests on 11 April.  A shirt and vest showed up and were definitely back ally stuff like at a street market in Bangkok.  Cheaply made. Smelly.  Wrapped in plastic.  Website pictures are scammed.  The other vest and ties have not shown-up...buyer beware!  Zartoni keeps sending a USPS tracking number that isn’t active."
86,"I order a coat and didn't care for the quality, so sent it back.  Getting information from them on how to send it back was pretty frustrating -- but I finally got the address (I had to pay for the return shipping myself).  They've had the return now for 3 weeks and still haven't issued a refund.  They keep asking me to wait a couple more days.  I filed a claim with PayPal so they can handle it and I'll get my money returned.  DO NOT BUY ANYTHING FROM THIS COMPANY."
87,"They claim to be Italian and ship things from Miami. The truth of the matter is they're cheap items from China. That's right, CHINA. Not Italy, but CHINA. Their size chart is so off that if you order anything from them I can guarantee it that they won't fit. And then good luck returning the items. The cost to return the cheaply made items will probably be more than the items themselves.STAY AWAY FROM ZARTONI. THEY ARE A COMPLETE SHAM AND SCAM."
88,"Christmas jumper, ordered on 13 Dec. Not told it would take weeks to arrive. When it did arrive (22nd jan - six weeks after ordering), it is way too big (small fits over 2 sweaters and I’m normally a medium anyway!). Quite a few loose fibres, knit is not very high quality. I would be fine with quality if size was good - it’s only a Christmas jumper after all. Sorry I don’t have anything more positive to add."
89,"Placed my order for 3 beanies December 2, 2019 and finally received a notification it was delivered December 23,2019. Checked my mailbox for days, no package was delivered, no note or notice in my mailbox. The company customer service is a joke, and Arrive tracking service customer service is non existent altogether.I feel I have been had by a scam and will never see the product I ordered. Buyers beware"
90,Zero star review.I ordered an item for $70 ended up paying $95 due to exchange rate fro USD to CAD and I still haven't received the the shipment yet !!! When I tried to contact them through their website I got an automated reply message with no helpful information.It is waste of time and money....I will call my credit card company to claim my money back.
91,The order was placed 19 business days ago and I've gotten some bootleg Chinese tracking about this order since then. I fear that this is an illegitimate company and that they have stolen my money and I'm contacting PayPal to get a full refund. Beware of this company... It is not an Italian company but it's based out of China and if you purchase anything from them and go get bizzare tracking information from China.
92,"I bought a beanie hat and bracelet from Zartoni at a reasonable price. Unfortunately, the 2 items were shipped separately. The bracelet is leather but with cheap-feeling plastic rings on which was not clear in the description. The hat has been impounded by customs and I have to pay £13 on top of the cost of the item which makes it the most expensive hat I have ever owned. I am very disappointed"
93,This place is pretty much a scam.  They billed me three times.  Of which I have not been returned.  So I was billed over $350 American. Never recieved any of my product.  Was in contact with them nermerous times and emails where sent saying I would receive my product and get my money back.  Nothing has happened and it’s been over 4 months now.  Sadly there is no one to call to report this business.  Don’t buy from them. Facebook should be vetting these advertisements.   Brutal!
94,"I read all the reviews and pretty much gave up thinking I got scammed.  BUT...it actually arrived today.  Ordered it on 12/9/19 and arrived 1/8/2020.  So it took one month.  It looks like what I ordered and feels and fits great.  Only reason I didn’t give it five stars is because it’s not made by Zartoni, or least it didn’t have the brand name on it, instead it has “Honghe”, not quite as sexy as Zarotni.  I just took off the tag and it looks great!"
95,"Ordered on November 14 on the recommendation of a friend who received a beautiful, comfortable beanie.  I ordered the same one and here I am two months later (with winter almost gone) and I still have not received anything.  I already sent one complaint about the shipment and no response.  Sent a second complaint as well today.  The shipment shows still sitting in GuangDongShengGuangZhouShi 51040034 | Despatch from Sorting Center since November 18."
96,"Horrible experience.  Each day the planned delivery date slips to the current date, but the item never gets delivered. This has happened the past 5 days.  Their own notification States that if it is not received within two days to contact them. After it not coming in 4 days after the stated delivery date, I contacted them using their own ""contact us"" hyperlink, and got an automated reply back stating that this email address is not monitored. What a joke."
97,As my title says: Do NOT buy from them.I did NOT receive anything from them except the order details and of course they took my money. Since then I didn't receive any update and when I contact them. They NEVER reply!! To add salt to the wounds. I just fell into their scam market on instagram and I just discovered this page now!!
98,"Zero stars! Place my order on April 13th, 2 pairs of pants and 2 sweaters. On May 3rd I sent in a ticket, they responded the next day claiming my order was in transit since April 28th. Just sent another one today and now I’m contacting my credit card to file a fraud. Brutal! Wish I knew about this site."
99,"I was waiting for my order for two weeks now without much of a progress. Got tracking number that looks like a dead end.Their customer service respond quite quick but their responses are predefined. Got tired and tried to cancel the order. Loved their response. Quote:“ Unfortunately it's too late to change your order now. Rest assured, all our products are awesome! So, even though you’ll be receiving a product that you would no longer like, we’re sure that you’ll find a good use for it. “Scam."
100,"Absolutely a scam. Clothing took three weeks to come, feels like dollar store quality, coming apart at the seams. There is nowhere on their site or in their emails to process a return. Happy to edit my review once a refund has been issued."
101,"I believe this is a scam company and it is no wonder big business like Amazon has taken over.  I ordered a beanie from Zartoni and the tracking was vague and stopped after about 3 weeks, so I wrote to the company. They said they resent it and gave a new tracking number and the tracking stopped again and I filled out another customer question ticket.  The told me there was a problem with the package getting to me and only refunded 11.99 of a 16.99 order.  I never received the product.  Ridiculous."
102,"Hi  Zartoni, I have bought a shirt from your site on the 29/1/21 at 9.23 AM Ref: 4029357733, Please check & Send  ASAP Its is more than a month otherwise I will request Master Card for a Refund. Thanks Joseph Dias 0417358483, 21 Dingley Ave, Dandenong"
103,I wish I could give this  company a ZERO. Haven't received my merchandise. Money taken from my account and customer service is just an automatic email response. Don't let them rip you off. Honestly this company should be reported to a higher establishment then a personal bank because they are a 100% SCAM.
104,0 star review. This may be a real business but you will not get your clothes within a month. I haven’t gotten mine yet and it’s been 4 weeks. They haven’t even shipped it yet. Bank won’t cancel my charge because it’s debit. Definitely use a credit card to buy from this place Incase they try to f*** you.
105,"The email listed under contact kicks back an automated response saying this email is not monitored and that you shouldn’t use it. My package hasn’t moved in 11 days, which is more a reflection of China Post, but Zartoni has been no help at all either. Just glad I got this item on sale. Never using them again."
106,Was very surprised to see so many bad reviews.  I ordered my beanie and love it.  The order does take some time but they did respond to me in a timely manner when I inquired.  I also received a discount for future purchases.  Keeping an open mind.  I like the style of the clothing and accessories.
107,Dont Buy at Zartoni!!!The company is scam in my eyes.I ordered a shirt about 5 weeks ago. Nothing happened except for the payment via paypal. You get a shipping link from a dubious Chinese post on which nothing happens.save your money and most importantly be careful with your credit card details
108,I purchased a white Lapis Dress (where it was slightly reduced) where I was still charged $42.90 / £34.91! I ordered this item on the 6th October but where they didn't post it until the 27th of October. When it finally arrived on the 8th Nov I found the quality to be terrible with an iron on motif which was sticky. I have been told I can return it to China for an exchange of store coupon as I am not allowed a full refund as it was a sale item. Avoid purchasing anything off this store. I will just be putting it in the bin!
109,"ordered a ""hat"". when it arrived, it was some odd pieces of fabric with a hole in it. i returned it for a refund to the address they gave, at my expense. a month ago, and they still have not refunded my money,. they said they turned it over to their finance dept.what a bunch of crooks."
110,"I have had a very good experience with Zartoni; I’ve bought 4 beanies (2 at a time) over the past few months in time for our Aussie winter and they are great, really well made and very nice to wear, I wear them all the time. Delivery to east coast Australia was quick and easy to track. Yes they are made in China but isn’t nearly everything these days. I probably wouldn’t buy any other clothing or footwear from Zartoni and prefer to buy local in these COVID-19 times and I would have some concerns regarding sizing. The beanies were exactly what I wanted."
111,"Total scam! Clothes are much different than advertised. Cheap, falling apart, clearly a bait and switch. Customer service is non existent. Paid to ship back return and have not heard any response from them. AVOID AVOID AVOID!"
112,"I got my pullover as ordered. It took quite a long time, several weeks. On the other hand I am very satisfied to the quality and colours. Nothing to complain about. This was my second order and both had long delivery times, but it is not so important to me. Quality matters."
113,"Likewise, I have not received my order more than a month now. Tracking the item is a joke as it is bouncing from one facility to another to no end. This tracking number is made-up and programmed to look like it is a real tracking number. I think this Chinese company is a FRAUD!!!"
114,"I place an order two months ago (streched pants) after some time i decided to check reviews about the company and i saw it wasn’t good. I didn’t like that it came from china, as it said it was from italy. Today i received my order. I’m completely satisfied with it!"
115,"ZERO STARSOrdered goods marketed as Italian, which is fraud as they are obviously manufactured in China. Shipping would take around three to four days, Three weeks later and still not received the goods. Again, fraud. Someone ought to sue the s**t out of Zartoni."
116,"This company is the worst. I wish I would have read the reviews about delivery. Do not order from this company. You place and order, they charge your card and you have to wait 7 business days to find out an order number. Now they say I have to wait 7-14 days for delivery."
117,"So after my review yesterday, Zartoni responded “someone will get in contact with you” as you can see below. Well guess what, nobody reached out to me or processed my refund... this is all part of the Zartoni scam!"
118,"I bought a shirt that I saw advertised on social media. I received it about 3 weeks later. Their website claims ""prime Italian fashion"", however the product was shipped from China and was of very poor quality. It was also not the brand advertised (the brand I received is called Reverb). When I contacted them to return it, I was told that shipping was at my own cost and they are located in Slovakia, so it would probably cost me the price of the shirt just to return it. In the end, they offered me a 20% refund and to keep the shirt - which is of no use to me, as it is way too big."
119,I like the hat. The color is a lot lighter than the picture indicated.
120,"I ordered over 2 months ago, my package has been sitting in Rochester for weeks now, no costumer service or way to get help, it’s actually amazing a business like this is allowed to exist."
121,"My package arrived a few days later, and I had missing items I was very upset, but the customer service agent was unbelievably helpful and efficient. Really pleasant experience, thank you!"
122,"According to the website this company is selling Italian clothes, but seems to ship from China. All products can be found on AliExpress. This makes shipping time way longer than shown on the website. Would not advise to buy here."
123,"I never usually post comments like this, but this is a scam company. They market their products on social media (Instagram) in my case as high end Italian fashion. They suggest their discounted products are at half the expected retailing value. After puchasing an item, it takes 3 weeks to arrive (from China) and the brand name is completely different (""Reverb""). The product quality is very poor and I received a completely different colour and size to what I had purchased. To return, it costs ~$20 which is the initial ticket price itself.The slick online marketing may tempt you, but save your money and don't fuel this money making racket. Good luck!"
